Preferred Label,Synonyms
ND06025 cell,ND06025
GM02161 cell,GM02161
GM00969 cell,GM00969
bone of pelvic complex,hindlimb bone
bone of appendage girdle complex,bone of extended limb/fin region|limb bone
HQ00159 cell,HQ00159
DA00485 cell,DA00485
FIB-CL9 cell,FIB-CL9
N418 cell,N418
Squamata,squamates
AG09390 cell,AG09390
GM08714 cell,GM08714
COR-L51 cell,COR-L51
ND11768 cell,ND11768
AG07624 cell,AG07624
Fanconi's anemia,"""Fanconi's anemia (disorder)"" EXACT [SNOMEDCT_2005_07_31:30575002]|""Fanconi's anemia"" EXACT [MTHICD9_2006:284.0]|""Fanconi's anemia"" EXACT [CSP2005:0427-0659]|""Panmyelopathy, Fanconi"" EXACT [NCI2004_11_17:C3034]"
DA00185 cell,DA00185
ND06436 cell,ND06436
ND11436 cell,ND11436
DA04592 cell,DA04592
ND12085 cell,ND12085
GM01553 cell,GM01553
ND07675 cell,ND07675
KNS-81-FD cell,KNS-81-FD
GM03814 cell,GM03814
ND06186 cell,ND06186
RCB1829 cell,RCB1829|SC-1
ND12742 cell,ND12742
PR01169 cell,PR01169
DA01106 cell,DA01106
GM21619 cell,GM21619
GM05124 cell,GM05124
Tumor-derived cell line,
GM18308 cell,GM18308
AG20625 cell,AG20625
IGF053/83 cell,IGF053/83
ND08163 cell,ND08163
TC-1 cell,TC-1
RCB1535 cell,MLC-2-4|RCB1535
2A11 cell,2A11
HQ00535 cell,HQ00535
PR01144 cell,PR01144
ND05587 cell,ND05587
IGF039/01 cell,IGF039/01
ND04992 cell,ND04992
ND00008 cell,ND00008
HQ00173 cell,HQ00173
GM17209 cell,GM17209
GM00515 cell,GM00515
DA03020 cell,DA03020
ND05791 cell,ND05791
ND12387 cell,ND12387
FC60A.We cell,FC60A.We
IGF138/80 cell,IGF138/80
DA06272 cell,DA06272
GM01017 cell,GM01017
ND11679 cell,ND11679
DA02317 cell,DA02317
GM12565 cell,GM12565
MM14.Lu cell,MM14.Lu
pit,
general ecto-epithelial cell,
GM05750 cell,GM05750
ND06244 cell,ND06244
DA03394 cell,DA03394
AG07756 cell,AG07756
ND12771 cell,ND12771
GM08985 cell,GM08985
ECC-1 cell,
GM12326 cell,GM12326
Anti-My-10 clone 28/8/8/ cell,Anti-My-10 clone 28/8/8/
IGF100/78 cell,IGF100/78
CR88P cell,CR88P
GM10095 cell,GM10095
PR00058 cell,PR00058
RCB0867 cell,3-2H3|RCB0867
GM20907 cell,GM20907
ND10496 cell,ND10496
ND05579 cell,ND05579
GM02000 cell,GM02000
GM01955 cell,GM01955
ND00269 cell,ND00269
GM09412 cell,GM09412
DA01153 cell,DA01153
DA00668 cell,DA00668
ND00507 cell,ND00507
1H10-6 cell,1H10-6
ND02999 cell,ND02999
IGF100/80 cell,IGF100/80
IGF031/90 cell,IGF031/90
GM01767 cell,GM01767
ND01562 cell,ND01562
RCB2368 cell,KT02|RCB2368
HQ00915 cell,HQ00915
ND00120 cell,ND00120
ND02135 cell,ND02135
GM17831 cell,GM17831
ND11656 cell,ND11656
ND07933 cell,ND07933
GM12488 cell,GM12488
DA04594 cell,DA04594
NEF36.Sg cell,NEF36.Sg
IGL001/98 cell,IGL001/98
GM20783 cell,GM20783
ND14496 cell,ND14496
DA06221 cell,DA06221
83-12-5 cell,83-12-5
GM08065 cell,GM08065
DA01017 cell,DA01017
FH 39 cell,FH 39
IGF017/96 cell,IGF017/96
immortal lesser panda skin-derived fibroblast cell line cell,
GM17996 cell,GM17996
RCB0470 cell,Lu-140|RCB0470
DA05251 cell,DA05251
GM14905 cell,GM14905
L11/135 cell,L11/135
DA02880 cell,DA02880
ND06437 cell,ND06437
AG04355 cell,AG04355
MAb 26-7-5 cell,MAb 26-7-5
BC3 cell,BC3
GM07829 cell,GM07829
GM12521 cell,GM12521
HQ00695 cell,HQ00695
Hs 544..Sk cell,Hs 544..Sk
GM17947 cell,GM17947
M 144 cell,M 144
GM01921 cell,GM01921
ND09199 cell,ND09199
GM20900 cell,GM20900
GM06094 cell,GM06094
AG09974 cell,AG09974
GM16351 cell,GM16351
GM07468 cell,GM07468
DA03687 cell,DA03687
AG07124 cell,AG07124
ND06359 cell,ND06359
163 cell,163
AG12989 cell,AG12989
75j23pe34 cell,75j23pe34
J26 cell,J26
CEM.NKR-CCR5 cell,
eye mesenchyme,mesenchyme of eye
DA05781 cell,DA05781
AG09798 cell,AG09798
DA01113 cell,DA01113
GM11287 cell,GM11287
ND02924 cell,ND02924
Capra hircus,goats|domestic goat|goat
GM21632 cell,GM21632
COR-L279 cell,COR-L279
IGF077/85 cell,IGF077/85
ND05899 cell,ND05899
7/8 (clone G3) cell,7/8 (clone G3)
GM03494 cell,GM03494
GM16405 cell,GM16405
GM19192 cell,GM19192
GM12091 cell,GM12091
DA01434 cell,DA01434
RCB0478 cell,NB16|RCB0478
ND14705 cell,ND14705
AG09156 cell,AG09156
GM11567 cell,GM11567
RCB1970 cell,LK-2|RCB1970
AG05098 cell,AG05098
ND00210 cell,ND00210
IMG-1048 cell,IMG-1048
ND14647 cell,ND14647
SJK-287-38 cell,SJK-287-38
HQ00815 cell,HQ00815
HSC0092 cell,HSC0092|WY075
GM15146 cell,GM15146
GM04596 cell,GM04596
ND02207 cell,ND02207
RCB2813 cell,NMuMG-Fucci|RCB2813
GM12676 cell,GM12676
A84P cell,A84P
DA04110 cell,DA04110
DA02238 cell,DA02238
DA02905 cell,DA02905
PVBC-OI186 cell,PVBC-OI186
RCB2219 cell,NCC-RbC-T1|RCB2219
ND12016 cell,ND12016
GM13112 cell,GM13112
ND05407 cell,ND05407
DA04456 cell,DA04456
GM12508 cell,GM12508
AG14036 cell,AG14036
developing neuroepithelium,neurepithelium|neuroepithelium|embryonic neuroepithelium
proliferating neuroepithelium,
differentiating neuroepithelium,
TR88 cell,TR88
GM01486 cell,GM01486
RCB1891 cell,HeLa TG|RCB1891
LU-139 cell,LU-139
heparins,
DA04033 cell,DA04033
GM02625 cell,GM02625
ND10940 cell,ND10940
GM07983 cell,GM07983
ND01499 cell,ND01499
GM13147 cell,GM13147
ND12457 cell,ND12457
GM09337 cell,GM09337
GM17660 cell,GM17660
GM03391 cell,GM03391
GM12637 cell,GM12637
GM01637 cell,GM01637
GM14682 cell,GM14682
DA02809 cell,DA02809
DA04598 cell,DA04598
DA03850 cell,DA03850
Jiyoye cell,Jiyoye
GM14310 cell,GM14310
ND10901 cell,ND10901
CCD 1103 KIDTr cell,CCD 1103 KIDTr
ND09060 cell,ND09060
GM11836 cell,GM11836
ND03001 cell,ND03001
GM01214 cell,GM01214
ND11510 cell,ND11510
ND10284 cell,ND10284
ND14050 cell,ND14050
ND11836 cell,ND11836
GM17361 cell,GM17361
DA04251 cell,DA04251
COLO 818 cell,COLO 818
GM11458 cell,GM11458
GM06420 cell,GM06420
GMC0005 cell,B0031|GMC0005
ND02835 cell,ND02835
S005041 cell,S005041
laminar,
GM04877 cell,GM04877
AG13329 cell,AG13329
ND02222 cell,ND02222
GM03945 cell,GM03945
GM12283 cell,GM12283
GM05953 cell,GM05953
DA00484 cell,DA00484
GM16791 cell,GM16791
PR00333 cell,PR00333
TT cell,TT
J27-B7 cell,J27-B7
GM11105 cell,GM11105
ND03596 cell,ND03596
GM12138 cell,GM12138
GM17730 cell,GM17730
ND12328 cell,ND12328
GM15235 cell,GM15235
ND07428 cell,ND07428
DA00868 cell,DA00868
DA01180 cell,DA01180
DA03860 cell,DA03860
GM03128 cell,GM03128
RCB0412 cell,NIAS-PX-64|RCB0412
L-132 cell,L-132
cytoskeleton-dependent intracellular transport,
GM19731 cell,GM19731
ND09669 cell,ND09669
GM12814 cell,GM12814
ND14217 cell,ND14217
umbilical cord mesenchymal stem cell line cell,
HMLE_sh_ECAD cell,
RC-K8 cell,RC-K8
GM00510 cell,GM00510
COL-10 cell,COL-10
FL74-UCD-1 cell,FL74-UCD-1
ND04575 cell,ND04575
S008860 cell,S008860
ND08901 cell,ND08901
ND01098 cell,ND01098
GM00008 cell,GM00008
GM10873 cell,GM10873
skin melanoma,"Melanoma of skin, site unspecified|MM - Malignant melanoma of skin|Skin, Melanoma|Malignant melanoma of skin of other and unspecified parts of face|Malignant melanoma of skin (disorder)|Malignant Melanoma of Skin|[X]Malignant melanoma of skin, unspecified|Malignant melanoma of other specified skin site (disorder)|MALIG MELANOMA SKIN NOS|Melanoma of the Skin|cancer of skin|cutaneous melanoma|Malignant Cutaneous Melanoma|MALIG MELANOMA SKIN NEC|MAL MELANOM FACE NEC/NOS|[X]Malignant melanoma of skin, unspecified (disorder)|Malignant melanoma of skin NOS (disorder)|Malignant melanoma of other specified skin site|Malignant Melanoma (of Skin), Stage Unspecified|Malignant melanoma of other specified sites of skin|Malignant melanoma of skin, NOS|Melanoma of Skin"
GM03946 cell,GM03946
GM01953 cell,GM01953
ND09436 cell,ND09436
BE10-Intermediate cell,BE10-Intermediate
DA05800 cell,DA05800
HQ00503 cell,HQ00503
GM11771 cell,GM11771
GM20551 cell,GM20551
GM10182 cell,GM10182
GM09082 cell,GM09082
OSC-19 cell,OSC-19
DA02427 cell,DA02427
IGF037/80 cell,IGF037/80
GM12763 cell,GM12763
MGF89P cell,MGF89P
sodium molecular entity,sodium compounds|sodium molecular entities
RCB1794 cell,&Delta;Rad18&Delta;XPA-DT40|RCB1794
ND00015 cell,ND00015
ND05370 cell,ND05370
BF-11 cell,BF-11
147-67C6 cell,147-67C6
GM14533 cell,GM14533
DA04261 cell,DA04261
GM14788 cell,GM14788
GM15816 cell,GM15816
DA03283 cell,DA03283
ND04531 cell,ND04531
ND05678 cell,ND05678
GM16480 cell,GM16480
GM16689 cell,GM16689
SM27-1045 cell,SM27-1045
IGF033/01 cell,IGF033/01
DA05534 cell,DA05534
GM12271 cell,GM12271
GM20216 cell,GM20216
HQ00052 cell,HQ00052
GM05904 cell,GM05904
CCRF-HSB-2 cell,CCRF-HSB-2
pnictogen molecular entity,pnictogen molecular entities|pnictogen molecular entity
AG09858 cell,AG09858
DA04842 cell,DA04842
GM00196 cell,GM00196
PVBC-OI189 cell,PVBC-OI189
C-B95 cell,C-B95
DA00028 cell,DA00028
DA03546 cell,DA03546
ND14725 cell,ND14725
primary cultured bone marrow cell,
FRYNS SYNDROME,
"ACYL-CoA DEHYDROGENASE, MEDIUM-CHAIN, deficiency OF","""Medium chain acyl-CoA dehydrogenase deficiency"" EXACT [SNOMEDCT_2005_07_31:393571006]|""Medium-chain acyl-coenzyme A dehydrogenase deficiency (disorder)"" EXACT [SNOMEDCT_2005_07_31:128596003]|""MCAD deficiency"" EXACT [SNOMEDCT_2005_07_31:74351001]|""Medium chain acyl-CoA dehydrogenase deficiency"" EXACT [SNOMEDCT_2005_07_31:394513008]|""Medium chain acyl CoA dehydrogenase deficiency (MCAD)"" EXACT [MTHICD9_2006:277.85]"
methylmalonic aciduria cblB type,"""METHYLMALONIC ACIDURIA, VITAMIN B12-RESPONSIVE, DUE TO DEFECT IN SYNTHESIS OF ADENOSYLCOBALAMIN, cblB TYPE"" EXACT []|""METHYLMALONIC ACIDEMIA, cblB TYPE"" EXACT []|""METHYLMALONICACIDURIA, vitamin B12-RESPONSIVE, DUE TO DEFECT IN SYNTHESIS OF ADENOSYLCOBALAMIN--cbl B"" EXACT []"
DA02578 cell,DA02578
AG08533 cell,AG08533
GM06231 cell,GM06231
DA03049 cell,DA03049
AG02258 cell,AG02258
Hs 729 cell,Hs 729
G-3-5 cell,G-3-5
GM03954 cell,GM03954
HQ00117 cell,HQ00117
ND10811 cell,ND10811
DA01983 cell,DA01983
520C9 cell,520C9
ND09014 cell,ND09014
ND03106 cell,ND03106
RCB1525 cell,HeLa.S3|RCB1525
regulation of chemotaxis,
positive regulation of chemotaxis,stimulation of chemotaxis|activation of chemotaxis|upregulation of chemotaxis|up-regulation of chemotaxis|up regulation of chemotaxis
RCB0770 cell,RCB0770|XTY
ND06829 cell,ND06829
GM02527 cell,GM02527
LM00031 cell,LM00031
GM11304 cell,GM11304
IMG-1407 cell,IMG-1407
JF5 cell,JF5
immortal human fetal membrane-derived cell line cell,
glandular acinus,acini|acinus
GM02055 cell,GM02055
myeloid leukocyte migration,
DA01738 cell,DA01738
Hs 889.T cell,Hs 889.T
PR00293 cell,PR00293
ND11606 cell,ND11606
AG17716 cell,AG17716
immortal gill-derived cell line cell,
ND13630 cell,ND13630
GM13119 cell,GM13119
GM18024 cell,GM18024
a Intermediate filament cell,a Intermediate filament
ciliated columnar epithelium,
GM00089 cell,GM00089
AG05189 cell,AG05189
CCD-1124Sk cell,CCD-1124Sk
ND04436 cell,ND04436
GM14971 cell,GM14971
RCB2241 cell,HE22|RCB2241
GM05847 cell,GM05847
IGL002/96 cell,IGL002/96
ND04596 cell,ND04596
GM05218 cell,GM05218
GM20925 cell,GM20925
AG13225 cell,AG13225
ND06378 cell,ND06378
ND08616 cell,ND08616
AU10156 cell,AU10156
GM08382 cell,GM08382
DA03195 cell,DA03195
peptide hormone secreting cell,
insulin secreting cell,
acid secreting cell,
parietal cell,oxyntic cell
endocrine cell,endocrinocyte
chromaffin cell,phaeochromocyte
enteroendocrine cell,
neuroendocrine cell,neurosecretory cell
IGF014/94 cell,IGF014/94
ND10611 cell,ND10611
organic univalent group,
ND14035 cell,ND14035
DA05155 cell,DA05155
ES-C57BL/6 cell,ES-C57BL/6
GM11121 cell,GM11121
IGF040/95 cell,IGF040/95
GM01310 cell,GM01310
AG06288 cell,AG06288
ND11916 cell,ND11916
HQ00980 cell,HQ00980
GM11346 cell,GM11346
future diencephalon,presumptive diencephalon
DA04500 cell,DA04500
DA03586 cell,DA03586
ND04069 cell,ND04069
DA03838 cell,DA03838
lipid localization,lipid localisation
ND01440 cell,ND01440
DA01657 cell,DA01657
ND03551 cell,ND03551
DA00454 cell,DA00454
ND04880 cell,ND04880
GM01549 cell,GM01549
immortal chimpanzee organism part-derived endothelial cell line cell,
ND08728 cell,ND08728
AA84F cell,AA84F
HEK001 cell,HEK001
IGF033/91 cell,IGF033/91
IGL012/97 cell,IGL012/97
17-hydroxy steroid,17-hydroxy steroids
N2586 cell,
Ra Lot cell,Ra Lot
Hs 468.Lu cell,Hs 468.Lu
RCB2320 cell,LACF-NaNaII|RCB2320
Hs 867.Sk cell,Hs 867.Sk
ND07901 cell,ND07901
ND01091 cell,ND01091
GM08966 cell,GM08966
S003611 cell,S003611
IGF072/85 cell,IGF072/85
GM03810 cell,GM03810
ND09083 cell,ND09083
FIB-SCLE6 cell,FIB-SCLE6
immortal stratified squamous epithelial cell line cell,
DA05488 cell,DA05488
ND03179 cell,ND03179
IGF012/01 cell,IGF012/01
AU10168 cell,AU10168
gastric signet ring cell adenocarcinoma,Signet Ring cell adenocarcinoma of the stomach
GM11712 cell,GM11712
ND08025 cell,ND08025
ND12103 cell,ND12103
ND05070 cell,ND05070
IGF084/85 cell,IGF084/85
DA03193 cell,DA03193
GM01891 cell,GM01891
IGF065/80 cell,IGF065/80
ND12331 cell,ND12331
DA06125 cell,DA06125
ND11640 cell,ND11640
GM06443 cell,GM06443
AG11379 cell,AG11379
RCB2367 cell,KT01|RCB2367
GM11515 cell,GM11515
CHO203PV cell,CHO203PV
IMG-991 XP3ORO cell,IMG-991 XP3ORO
IGF013/82 cell,IGF013/82
DA02886 cell,DA02886
ND00408 cell,ND00408
serous secreting cell,serous cell
keratin accumulating cell,
mucus secreting cell,mucous cell
keratinocyte,malpighian cell|keratinized cell of epidermis|malpighian cell
PE/CA-PJ15 cell,PE/CA-PJ15
ND00371 cell,ND00371
GM14290 cell,GM14290
RCB0705 cell,10H|RCB0705
RCB2049 cell,OMR5|RCB2049
5D4-11 cell,5D4-11
IGL023/96 cell,IGL023/96
GM06897 cell,GM06897
DA00600 cell,DA00600
GM17502 cell,GM17502
RCB1185 cell,RCB1185|TT1TKB
GM13033 cell,GM13033
GM13435 cell,GM13435
GM11127 cell,GM11127
HSC0048 cell,HSC0048|WY058
IGL013/98 cell,IGL013/98
ND10011 cell,ND10011
A-427 cell,A-427
GM11911 cell,GM11911
GM01913 cell,GM01913
GM00575 cell,GM00575
bladder organ,bladder
GM01872 cell,GM01872
GM03847 cell,GM03847
ND10574 cell,ND10574
GM18488 cell,GM18488
BHY cell,BHY
GM11166 cell,GM11166
DA04273 cell,DA04273
RCB0527 cell,Jyg-MC(B)|RCB0527
HQ00353 cell,HQ00353
HEV0024 cell,HEV0024
ND11266 cell,ND11266
GM08928 cell,GM08928
GM04846 cell,GM04846
DA04012 cell,DA04012
AG13146 cell,AG13146
ND14528 cell,ND14528
H5 cell,H5
DA02858 cell,DA02858
Hs 741.Sk cell,Hs 741.Sk
GM20510 cell,GM20510
ND09167 cell,ND09167
GM19700 cell,GM19700
L-HSO2 cell,L-HSO2
PUTKO cell,PUTKO
TTDH12PV cell,TTDH12PV
DA04525 cell,DA04525
GM06992 cell,GM06992
IGF066/85 cell,IGF066/85
HEV0041 cell,HEV0041
ND02760 cell,ND02760
FHs 74 Int cell,FHs 74 Int
HQ00390 cell,HQ00390
GM18094 cell,GM18094
immortal human vagina-derived cell line cell,
immortal mouse cell line cell,immortal mouse cell line
H4II cell,H4II
ND12535 cell,ND12535
GM10837 cell,GM10837
DA04846 cell,DA04846
immortal Red-cheeked gibbon peripheral vein-derived B cell line cell,
AG07954 cell,AG07954
GM20410 cell,GM20410
HQ00692 cell,HQ00692
AG08463 cell,AG08463
GM15786 cell,GM15786
GM15402 cell,GM15402
GM04957 cell,GM04957
ND06257 cell,ND06257
retinal cell,
CMT 93 cell,CMT 93
Pancrustacea,
ND09440 cell,ND09440
GM17944 cell,GM17944
GM13555 cell,GM13555
DA04748 cell,DA04748
DA03925 cell,DA03925
DA01611 cell,DA01611
GM06194 cell,GM06194
BBm cell,BBm
BONNA-12 cell,BONNA-12
5G5 cell,5G5
DA05659 cell,DA05659
GM07422 cell,GM07422
ND04297 cell,ND04297
GM07541 cell,GM07541
GM13070 cell,GM13070
RL cell,RL
ND00694 cell,ND00694
GM21744 cell,GM21744
DA00333 cell,DA00333
HCC1806 cell,HCC1806
GM15397 cell,GM15397
ND00700 cell,ND00700
GM17994 cell,GM17994
GM11111 cell,GM11111
GM04390 cell,GM04390
immortal rhesus macaque cell line cell,
immortal Ovis cell line cell,
GM07355 cell,GM07355
ND12332 cell,ND12332
DA01791 cell,DA01791
HQ00600 cell,HQ00600
DA06396 cell,DA06396
DA01486 cell,DA01486
GM10043 cell,GM10043
PVBC-EDS27 cell,PVBC-EDS27
ND05234 cell,ND05234
ND08213 cell,ND08213
ND08720 cell,ND08720
extracellular exosome assembly,extracellular vesicular exosome assembly
GM15343 cell,GM15343
ND03453 cell,ND03453
RCB0438 cell,LC-1/sq-SF|RCB0438
immortal mouse macrophage cell line,
GM07460 cell,GM07460
DA03111 cell,DA03111
CATH.a cell,CATH.a
GM13802 cell,GM13802
MM47T cell,MM47T
ND14392 cell,ND14392
HQ00087 cell,HQ00087
DA05355 cell,DA05355
PR00679 cell,PR00679
AG11808 cell,AG11808
GM17969 cell,GM17969
ND12933 cell,ND12933
GM20915 cell,GM20915
HQ00133 cell,HQ00133
DA01609 cell,DA01609
DA02889 cell,DA02889
9BG5 cell,9BG5
HQ00736 cell,HQ00736
GM10168 cell,GM10168
AG08498 cell,AG08498
HQ00024 cell,HQ00024
RCB2308 cell,802C11|RCB2308
GM11308 cell,GM11308
DA04701 cell,DA04701
RCB2204 cell,RCB2204|TFS-4
F10-330 cell,
nuclear particle,nuclear particle
DA02117 cell,DA02117
2G3 cell,2G3
RENT RO1 cell,RENT RO1
ND09895 cell,ND09895
FH 65 cell,FH 65
JHH-1 cell,JHH-1
ND11423 cell,ND11423
ND13604 cell,ND13604
ND01663 cell,ND01663
GM17906 cell,GM17906
future glans penis,glans of male genital tubercle
serous acinus,acinus of serous gland
future glans,
GM21417 cell,GM21417
GM02797 cell,GM02797
ND14058 cell,ND14058
progeria,HGPS|Progeria|Hutchinson-Gilford Progeria syndrome|Progeria syndrome (disorder) [Ambiguous]|Premature senility syndrome|Hutchinson Gilford Syndrome|Hutchinson-Gilford syndrome (disorder)|Hutchinson-Gilford Disease|Progeria (disorder)|progeria syndrome
optical quality,
HQ00536 cell,HQ00536
GM20757 cell,GM20757
RMG-I cell,RMG-I|RMGI
GM17316 cell,GM17316
GM09576 cell,GM09576
IGF032/85 cell,IGF032/85
GM20746 cell,GM20746
S1391 cell,S1391
GM07216 cell,GM07216
GM04502 cell,GM04502
VBA88Mf cell,VBA88Mf
immortal mouse myeloblast cell line cell,
GM00576 cell,GM00576
GM02580 cell,GM02580
mammary cancer,"mammary neoplasm|breast tumor|mammary cancer|malignant tumor of the breast|malignant neoplasm of breast|mammary tumor|primary breast cancer|""mammary tumor"" EXACT [CSP2005:2016-0671]|""mammary neoplasm"" RELATED []|""neoplasm of breast (disorder)"" EXACT [SNOMEDCT_2005_07_31:126926005]|""breast neoplasm"" EXACT [MTH:120]|""breast tumor"" EXACT [NCI2004_11_17:C2910]"
GM09252 cell,GM09252
ND00829 cell,ND00829
immortal human uterine cervix-derived epithelial cell line cell,
ND05485 cell,ND05485
DA05386 cell,DA05386
GM04993 cell,GM04993
NCI-H2126 cell,NCI-H2126
RCB1600 cell,KKF|RCB1600
ND04024 cell,ND04024
DA01815 cell,DA01815
GM12047 cell,GM12047
SW756 cell,SW756
GM06112 cell,GM06112
XP11PV cell,XP11PV
ND14122 cell,ND14122
1G1 cell,1G1
DA01774 cell,DA01774
Hs 733.Sk cell,Hs 733.Sk
RCB1797 cell,BP7(R80)|RCB1797
ND08489 cell,ND08489
GM09045 cell,GM09045
Sp2/01-Ag cell,Sp2/01-Ag
DA00258 cell,DA00258
GM05521 cell,GM05521
HE-SK cell,HE-SK
ND14684 cell,ND14684
ND10058 cell,ND10058
GM20741 cell,GM20741
AG09896 cell,AG09896
IMG-964 cell,IMG-964
LOU-NH91 cell,LOU-NH91
GM01795 cell,GM01795
GM12279 cell,GM12279
HQ00723 cell,HQ00723
AF-1 (MHV) cell,AF-1 (MHV)
ND10536 cell,ND10536
GM20894 cell,GM20894
GM14090 cell,GM14090
GM14405 cell,GM14405
DM-15 cell,DM-15
psychomotor disorder,"""psychomotor disorder"" EXACT [CSP2005:2484-1601]"
DA05087 cell,DA05087
GM02763 cell,GM02763
AG11073 cell,AG11073
ND13754 cell,ND13754
92BR cell,92BR
ND09860 cell,ND09860
GM00039 cell,GM00039
GM11452 cell,GM11452
GM15087 cell,GM15087
GM09589 cell,GM09589
LB9.Sp cell,LB9.Sp
DA02172 cell,DA02172
immortal epithelial cell line of lung cell,
GM11098 cell,GM11098
GM15066 cell,GM15066
DA03007 cell,DA03007
ND03795 cell,ND03795
GM07400 cell,GM07400
RCB2339 cell,RCB2339|XR-V15B
FH 80 cell,FH 80
GM13570 cell,GM13570
DA03781 cell,DA03781
AT2.1 cell,AT2.1
IGF057/95 cell,IGF057/95
AG04383 cell,AG04383
IGF026/83 cell,IGF026/83
ABE-8.1/2 cell,ABE-8.1/2
Pimephales promelas,fathead minnow
IMG-788 cell,IMG-788
IGF031/98 cell,IGF031/98
ND13818 cell,ND13818
ND06758 cell,ND06758
RCB1719 cell,IP3R type2^(-)/3^(-) DT40|RCB1719
ND13945 cell,ND13945
GM09070 cell,GM09070
ND09475 cell,ND09475
GM12830 cell,GM12830
DA00331 cell,DA00331
DA00574 cell,DA00574
DA05616 cell,DA05616
DA03079 cell,DA03079
ND03722 cell,ND03722
PR00255 cell,PR00255
RCB1244 cell,Anti-&alpha;(5)11D10B6|RCB1244
ND13834 cell,ND13834
GM05107 cell,GM05107
GM08859 cell,GM08859
GM12693 cell,GM12693
poison,toxic agents|toxic substance|poisonous substance|poisonous agents|toxic agent|poisonous substances|toxic substances|poisonous agent|poisons
DA04351 cell,DA04351
GM08922 cell,GM08922
GM20906 cell,GM20906
GM12669 cell,GM12669
BW5147(T200–a) 5.2 cell,BW5147(T200–a) 5.2
V-C89a cell,V-C89a
HEV0046 cell,HEV0046
ES1 cell,ES1
GM13711 cell,GM13711
ND13517 cell,ND13517
GM11984 cell,GM11984
GM12530 cell,GM12530
immortal sheep organism part-derived fibroblast cell line cell,
GM13124 cell,GM13124
ND09560 cell,ND09560
GM10428 cell,GM10428
B92 cell,B92
space surrounding organism,outside of body|external to organism
subdivision of oviduct,subdivision of fallopian tube|subdivision of oviduct|zone of uterine tube|subdivision of uterine tube|uterine tube zone
ND02121 cell,ND02121
T529-15D3-2E5-  4G12-1 cell,T529-15D3-2E5-  4G12-1
SA87ls cell,SA87ls
DA01667 cell,DA01667
synovial joint,diarthrodial joints|diarthrosis joint|diarthroses|articulatio synoviale|diarthrosis
GM01868 cell,GM01868
biliary bud,hepatic diverticulum
hepatopancreatic ampulla,ampulla Vaterii|papilla duodeni major|ampulla hepatopancreatica|papilla Vateri|biliaropancreatic ampulla|ampulla of bile duct|ampulla biliaropancreatica|ampulla of Vater|Vater's ampulla
duodenal papilla,papilla duodeni|papilla duodenalis|papilla of duodenum
epithelium of male gonad,testis sheath|testis epithelium
ND09727 cell,ND09727
GM17800 cell,GM17800
HM2 cell,HM2
SMT/2A LNM cell,SMT/2A LNM
GM15370 cell,GM15370
GM21601 cell,GM21601
hematopoietic tissue,bone marrow tissue|hemopoietic tissue|textus haemopoieticus|haemopoietic tissue|hematopoietic tissue
ND09486 cell,ND09486
Gd1WE cell,Gd1WE
PR00289 cell,PR00289
AG11339 cell,AG11339
GM13957 cell,GM13957
liquid configuration,liquid
radiation quality,
palpebral vein,venae palpebrales|palpebral veins
ND07951 cell,ND07951
ND11476 cell,ND11476
immortal Terrapene heart-derived cell line cell,
ND05921 cell,ND05921
SF1-1.1.10 cell,SF1-1.1.10
GM07862 cell,GM07862
duct epithelial cell,
branched duct epithelial cell,
epithelial cell,epitheliocyte|epithelial
ciliated epithelial cell,
osteoblast,
ciliated cell,
IGA017/99 cell,IGA017/99
ND01208 cell,ND01208
GM19391 cell,GM19391
GM03589 cell,GM03589
IGF065/79 cell,IGF065/79
ND08502 cell,ND08502
GM14415 cell,GM14415
ND12199 cell,ND12199
XPH4PV cell,XPH4PV
GM01605 cell,GM01605
AG16930 cell,AG16930
AT3B-1 cell,AT3B-1
retinal neural layer,neural retinal epithelium|stratum nervosum (retina)|neural retina|neuroretina|stratum nervosum retinae|neural layer of retina
GM10280 cell,GM10280
IGF064/88 cell,IGF064/88
GM13505 cell,GM13505
GM08015 cell,GM08015
DA00137 cell,DA00137
HQ00379 cell,HQ00379
ND02416 cell,ND02416
201-45E9 cell,201-45E9
SAB-701-022 cell,
DA00214 cell,DA00214
DA03837 cell,DA03837
GM15177 cell,GM15177
HEV0213 cell,HEV0213
DA02864 cell,DA02864
AG14939 cell,AG14939
DA03717 cell,DA03717
IGF028/98 cell,IGF028/98
LCL-HIV cell,LCL-HIV
GM07535 cell,GM07535
IGA016/84 cell,IGA016/84
protein polypeptide chain,protein polypeptide chains|polypeptide chain|Protein
AG14803 cell,AG14803
1G8 cell,1G8
GM11169 cell,GM11169
SVEC4-10EHR1 cell,SVEC4-10EHR1
PR00103 cell,PR00103
182-PF SK cell,182-PF SK
bone tissue,mineralized bone tissue|portion of bone tissue|bone|osseous tissue|osteogenic tissue|calcium tissue
HQ00938 cell,HQ00938
SIRC (Statens Se-   ruminstitut Rabbit   Cornea) cell,SIRC (Statens Se-   ruminstitut Rabbit   Cornea)
IGF095/80 cell,IGF095/80
DA04737 cell,DA04737
IGF049/99 cell,IGF049/99
ND14633 cell,ND14633
GM17300 cell,GM17300
pancreatic acinar cell,acinar cell of pancreas
type A enteroendocrine cell,
AG01519 cell,AG01519
DA05302 cell,DA05302
IGF001/84 cell,IGF001/84
GM14584 cell,GM14584
DA01629 cell,DA01629
