assay_chembl_id,assay_organism,assay_type,assay_type_description,description,compound_ids,clinical_trial_stages
CHEMBL1786111,Homo sapiens,F,Functional,Anticancer activity against human NCI-H322M cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786112,Homo sapiens,F,Functional,Anticancer activity against human NCI-H460 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786113,Homo sapiens,F,Functional,Anticancer activity against human NCI-H522 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786114,Homo sapiens,F,Functional,Anticancer activity against human COLO205 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786115,Homo sapiens,F,Functional,Anticancer activity against human HCC2998 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786116,Homo sapiens,F,Functional,Anticancer activity against human HCT116 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786117,Homo sapiens,F,Functional,Anticancer activity against human HCT15 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786118,Homo sapiens,F,Functional,Anticancer activity against human HT-29 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786119,Homo sapiens,F,Functional,Anticancer activity against human KM12 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786213,Homo sapiens,F,Functional,Anticancer activity against human SW620 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786214,Homo sapiens,F,Functional,Anticancer activity against human SF268 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786215,Homo sapiens,F,Functional,Anticancer activity against human SF295 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786216,Homo sapiens,F,Functional,Anticancer activity against human SF539 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786217,Homo sapiens,F,Functional,Anticancer activity against human SNB19 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786218,Homo sapiens,F,Functional,Anticancer activity against human SNB75 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786219,Homo sapiens,F,Functional,Anticancer activity against human U251 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786220,Homo sapiens,F,Functional,Anticancer activity against human LOXIMVI cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786221,Homo sapiens,F,Functional,Anticancer activity against human MALME-3M cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786222,Homo sapiens,F,Functional,Anticancer activity against human M14 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786223,Homo sapiens,F,Functional,Anticancer activity against human MDA-MB-435 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786224,Homo sapiens,F,Functional,Anticancer activity against human SK-MEL-2 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786225,Homo sapiens,F,Functional,Anticancer activity against human SK-MEL-28 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786226,Homo sapiens,F,Functional,Anticancer activity against human SK-MEL-5 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786414,Homo sapiens,F,Functional,Anticancer activity against human HL-60(TB) cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786415,Homo sapiens,F,Functional,Anticancer activity against human K562 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786416,Homo sapiens,F,Functional,Anticancer activity against human MOLT4 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786417,Homo sapiens,F,Functional,Anticancer activity against human UACC257 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786418,Homo sapiens,F,Functional,Anticancer activity against human UACC62 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786419,Homo sapiens,F,Functional,Anticancer activity against human IGROV1 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786420,Homo sapiens,F,Functional,Anticancer activity against human OVCAR3 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786421,Homo sapiens,F,Functional,Anticancer activity against human OVCAR4 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786422,Homo sapiens,F,Functional,Anticancer activity against human OVCAR5 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786529,Homo sapiens,F,Functional,Anticancer activity against human OVCAR8 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786530,Homo sapiens,F,Functional,Anticancer activity against human NCI/ADR-RES cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786531,Homo sapiens,F,Functional,Anticancer activity against human SKOV3 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786532,Homo sapiens,F,Functional,Anticancer activity against human 786-0 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786533,Homo sapiens,F,Functional,Anticancer activity against human A498 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786534,Homo sapiens,F,Functional,Anticancer activity against human ACHN cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786535,Homo sapiens,F,Functional,Anticancer activity against human Caki1 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786536,Homo sapiens,F,Functional,Anticancer activity against human RXF393 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786537,Homo sapiens,F,Functional,Anticancer activity against human SN12C cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786538,Homo sapiens,F,Functional,Anticancer activity against human TK10 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786539,Homo sapiens,F,Functional,Anticancer activity against human UO31 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786540,Homo sapiens,F,Functional,Anticancer activity against human PC3 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786541,Homo sapiens,F,Functional,Anticancer activity against human DU145 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786542,Homo sapiens,F,Functional,Anticancer activity against human MCF7 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786543,Homo sapiens,F,Functional,Anticancer activity against human MDA-MB-231 cells after 48 hrs by sulforhodamine B assay,CHEMBL1782990,None
CHEMBL1786544,Homo sapiens,F,Functional,Anticancer activity against human Hs578T cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786545,Homo sapiens,F,Functional,Anticancer activity against human BT549 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786546,Homo sapiens,F,Functional,Anticancer activity against human T47D cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786547,Homo sapiens,F,Functional,Anticancer activity against human MDA-MB-468 cells after 48 hrs by sulforhodamine B assay,"CHEMBL1782990, CHEMBL1782991","None, None"
CHEMBL1786690,Homo sapiens,F,Functional,Anticancer activity against human RPMI8266 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786691,Homo sapiens,F,Functional,Anticancer activity against human SR cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786692,Homo sapiens,F,Functional,Anticancer activity against human A549 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786693,Homo sapiens,F,Functional,Anticancer activity against human EKVX cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786694,Homo sapiens,F,Functional,Anticancer activity against human HOP62 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786695,Homo sapiens,F,Functional,Anticancer activity against human NCI-H226 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786696,Homo sapiens,F,Functional,Anticancer activity against human NCI-H23 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786697,Homo sapiens,F,Functional,Anticancer activity against human NCI-H322M cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786698,Homo sapiens,F,Functional,Anticancer activity against human NCI-H460 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786699,Homo sapiens,F,Functional,Anticancer activity against human NCI-H522 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786700,Homo sapiens,F,Functional,Anticancer activity against human COLO205 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786701,Homo sapiens,F,Functional,Anticancer activity against human HCC2998 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786702,Homo sapiens,F,Functional,Anticancer activity against human HCT116 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786703,Homo sapiens,F,Functional,Anticancer activity against human HCT15 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786704,Homo sapiens,F,Functional,Anticancer activity against human HT-29 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786705,Homo sapiens,F,Functional,Anticancer activity against human KM12 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1786706,Homo sapiens,F,Functional,Anticancer activity against human SW620 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785931,Homo sapiens,F,Functional,Anticancer activity against human SF268 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785932,Homo sapiens,F,Functional,Anticancer activity against human SF295 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785933,Homo sapiens,F,Functional,Anticancer activity against human SF539 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785934,Homo sapiens,F,Functional,Anticancer activity against human SNB19 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785935,Homo sapiens,F,Functional,Anticancer activity against human SNB75 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785936,Homo sapiens,F,Functional,Anticancer activity against human U251 cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785937,Homo sapiens,F,Functional,Anticancer activity against human LOXIMVI cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1785938,Homo sapiens,F,Functional,Anticancer activity against human MALME-3M cells assessed as cell growth promotion at 10'-5 M after 48 hrs by SRB assay relative to control,"CHEMBL1782690, CHEMBL1782691, CHEMBL1782692, CHEMBL1782693, CHEMBL1782694, CHEMBL1782695, CHEMBL1782696, CHEMBL1782697, CHEMBL1782698, CHEMBL1782699, CHEMBL1782700, CHEMBL1782701, CHEMBL1782702, CHEMBL1782703, CHEMBL1782704, CHEMBL1782705, CHEMBL1782706","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1798889,Homo sapiens,F,Functional,"Anticancer activity against human PC3 cells xenografted in athymic nude Swiss mouse assessed as tumor growth inhibition at 55 mg/kg, iv every two days for six times relative to control","CHEMBL1795833, CHEMBL1795961","None, None"
CHEMBL1804209,Homo sapiens,F,Functional,Anticancer activity against human SF268 cells assessed as cell growth at 20 ug/mL after 48 hrs by SRB assay relative to control,"CHEMBL590958, CHEMBL1802730, CHEMBL1802731, CHEMBL1802805, CHEMBL1802807, CHEMBL1802808, CHEMBL1802810, CHEMBL1802811, CHEMBL1800103, CHEMBL1802812, CHEMBL1802732, CHEMBL1802733, CHEMBL1802734, CHEMBL1802735, CHEMBL1802736, CHEMBL1802737, CHEMBL1802738, CHEMBL1802739, CHEMBL1802740, CHEMBL1802741, CHEMBL1802742, CHEMBL1802743, CHEMBL1802744, CHEMBL1802745, CHEMBL1802746, CHEMBL1802788, CHEMBL1802789, CHEMBL1802790, CHEMBL1802791, CHEMBL1802792, CHEMBL1802793, CHEMBL1802794, CHEMBL1802795, CHEMBL1802796, CHEMBL1802797, CHEMBL1802798, CHEMBL1802799, CHEMBL1802800, CHEMBL1802801, CHEMBL1802802, CHEMBL1802803, CHEMBL1802804","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1804210,Homo sapiens,F,Functional,Anticancer activity against human NCI-H460 cells assessed as cell growth at 4 ug/mL after 48 hrs by SRB assay relative to control,"CHEMBL590958, CHEMBL1802730, CHEMBL1802731, CHEMBL1802805, CHEMBL1802806, CHEMBL1802807, CHEMBL1802808, CHEMBL1802809, CHEMBL1802810, CHEMBL1802811, CHEMBL1800103, CHEMBL1802812, CHEMBL1802732, CHEMBL1802733, CHEMBL1802734, CHEMBL1802735, CHEMBL1802736, CHEMBL1802737, CHEMBL1802738, CHEMBL1802739, CHEMBL1802740, CHEMBL1802741, CHEMBL1802742, CHEMBL1802743, CHEMBL1802744, CHEMBL1802745, CHEMBL1802746, CHEMBL1802788, CHEMBL1802789, CHEMBL1802790, CHEMBL1802791, CHEMBL1802792, CHEMBL1802793, CHEMBL1802794, CHEMBL1802795, CHEMBL1802796, CHEMBL1802797, CHEMBL1802798, CHEMBL1802799, CHEMBL1802800, CHEMBL1802801, CHEMBL1802802, CHEMBL1802803, CHEMBL1802804","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
CHEMBL1804211,Homo sapiens,F,Functional,Anticancer activity against human NCI-H460 cells assessed as cell growth at 20 ug/mL after 48 hrs by SRB assay relative to control,"CHEMBL590958, CHEMBL1802730, CHEMBL1802731, CHEMBL1802805, CHEMBL1802806, CHEMBL1802807, CHEMBL1802808, CHEMBL1802809, CHEMBL1802810, CHEMBL1802811, CHEMBL1800103, CHEMBL1802812, CHEMBL1802732, CHEMBL1802733, CHEMBL1802734, CHEMBL1802735, CHEMBL1802736, CHEMBL1802737, CHEMBL1802738, CHEMBL1802739, CHEMBL1802740, CHEMBL1802741, CHEMBL1802742, CHEMBL1802743, CHEMBL1802744, CHEMBL1802745, CHEMBL1802746, CHEMBL1802788, CHEMBL1802789, CHEMBL1802790, CHEMBL1802791, CHEMBL1802792, CHEMBL1802793, CHEMBL1802794, CHEMBL1802795, CHEMBL1802796, CHEMBL1802797, CHEMBL1802798, CHEMBL1802799, CHEMBL1802800, CHEMBL1802801, CHEMBL1802802, CHEMBL1802803, CHEMBL1802804","None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None"
