ID,synonyms
Abcam A-549 GHSR KO,['Human GHSR knockout A549']
Abcam A-549 GJB2 KO,['Human GJB2 knockout A549']
Abcam A-549 GLDC KO,['Human GLDC knockout A549']
Abcam A-549 GLI1 KO,['Human GLI1 knockout A549']
Abcam A-549 GLI2 KO,['Human GLI2 knockout A549']
Abcam A-549 GLI3 KO,['Human GLI3 knockout A549']
Abcam A-549 GLS KO,['Human GLS knockout A549']
Abcam A-549 GMPR KO 1,['Human GMPR (GMPR1) knockout A549']
Abcam A-549 GMPR KO 2,['Human GMPR (GMPR1) knockout A549']
Abcam A-549 GOT1 KO,['Human GOT1 knockout A549']
Abcam A-549 GP1BA KO,['Human GP1BA knockout A549']
Abcam A-549 GPC1 KO,['Human GPC1 knockout A549']
Abcam A-549 GPER1 KO,['Human GPER1 knockout A549']
Abcam A-549 GPNMB KO,['Human GPNMB knockout A549']
Abcam A-549 GRIN2B KO,['Human GRIN2B knockout A549']
Abcam A-549 GSK3B KO,['Human GSK3B (GSK3 beta) knockout A549']
Abcam A-549 GSR KO,['Human GSR knockout A549']
Abcam A-549 GSTP1 KO,['Human GSTP1 knockout A549']
Abcam A-549 GZMB KO,['Human GZMB knockout A549']
Abcam A-549 H1-2 KO,['Human HIST1H1C (Histone H1.2) knockout A549']
Abcam A-549 H2BC21 KO,['Human HIST2H2BE knockout A549']
Abcam A-549 HAPLN3 KO 1,['Human HAPLN3 knockout A549']
Abcam A-549 HAPLN3 KO 2,['Human HAPLN3 knockout A549']
Abcam A-549 HAT1 KO,['Human HAT1 knockout A549']
Abcam A-549 HAVCR2 KO,['Human HAVCR2 knockout A549']
Abcam A-549 HDAC1 KO,['Human HDAC1 knockout A549']
Abcam A-549 HDAC2 KO,['Human HDAC2 knockout A549']
Abcam A-549 HDAC4 KO,['Human HDAC4 knockout A549']
Abcam A-549 HDAC5 KO,['Human HDAC5 knockout A549']
Abcam A-549 HDAC6 KO,['Human HDAC6 knockout A549']
Abcam A-549 HELQ KO,['Human HELQ knockout A549']
Abcam A-549 HELZ2 KO 1,['Human HELZ2 knockout A549']
Abcam A-549 HELZ2 KO 2,['Human HELZ2 knockout A549']
Abcam A-549 HERC5 KO 1,['Human HERC5 knockout A549']
Abcam A-549 HERC5 KO 2,['Human HERC5 knockout A549']
Abcam A-549 HERC6 KO,['Human HERC6 knockout A549']
Abcam A-549 HES4 KO,['Human HES4 knockout A549']
Abcam A-549 HEY1 KO,['Human HEY1 knockout A549']
Abcam A-549 HGF KO,['Human HGF knockout A549']
Abcam A-549 HGS KO,['Human HGS knockout A549']
Abcam A-549 HIF1A KO,['Human HIF1A (HIF-1 alpha) knockout A549']
Abcam A-549 HLA-A KO,['Human HLA-A knockout A549']
Abcam A-549 HLA-DRA KO,['Human HLA-DRA knockout A549']
Abcam A-549 HLA-E KO 1,['Human HLA-E (HLA E) knockout A549']
Abcam A-549 HLA-E KO 2,['Human HLA-E (HLA E) knockout A549']
Abcam A-549 HLA-G KO,['Human HLA-G knockout A549']
Abcam A-549 HMGA2 KO,['Human HMGA2 knockout A549']
Abcam A-549 HMGB3 KO,['Human HMGB3 knockout A549']
Abcam A-549 HMMR KO,['Human HMMR knockout A549']
Abcam A-549 HMOX1 KO,['Human HMOX1 (Heme Oxygenase 1) knockout A549']
Abcam A-549 HNF1A KO,['Human HNF1A knockout A549']
Abcam A-549 HNF4A KO,['Human HNF4A knockout A549']
Abcam A-549 HOXA9 KO,['Human HOXA9 knockout A549']
Abcam A-549 HPRT1 KO,['Human HPRT1 knockout A549']
Abcam A-549 HPSE KO,['Human HPSE knockout A549']
Abcam A-549 HRAS KO,['Human HRAS knockout A549']
Abcam A-549 HTR3D KO 1,['Human HTR3D (5HT3D Receptor) knockout A549']
Abcam A-549 HTR3D KO 2,['Human HTR3D (5HT3D Receptor) knockout A549']
Abcam A-549 ICAM1 KO,['Human ICAM1 knockout A549']
Abcam A-549 ICOS KO,['Human ICOS knockout A549']
Abcam A-549 ICOSLG KO,['Human ICOSLG knockout A549']
Abcam A-549 IDH1 KO,['Human IDH1 knockout A549']
Abcam A-549 IDH2 KO,['Human IDH2 knockout A549']
Abcam A-549 IDO1 KO 1,"['Human IDO1 (Indoleamine 2,3-dioxygenase) knockout A549']"
Abcam A-549 IDO1 KO 2,"['Human IDO1 (Indoleamine 2,3-dioxygenase) knockout A549']"
Abcam A-549 IFI16 KO 1,['Human IFI16 knockout A549']
Abcam A-549 IFI16 KO 2,['Human IFI16 knockout A549']
Abcam A-549 IFI27 KO,['Human IFI27 knockout A549']
Abcam A-549 IFI35 KO,['Human IFI35 knockout A549']
Abcam A-549 IFI44 KO 1,['Human IFI44 knockout A549']
Abcam A-549 IFI44 KO 2,['Human IFI44 knockout A549']
Abcam A-549 IFI44L KO 1,['Human IFI44L knockout A549']
Abcam A-549 IFI44L KO 2,['Human IFI44L knockout A549']
Abcam A-549 IFI6 KO 1,['Human IFI6 knockout A549']
Abcam A-549 IFI6 KO 2,['Human IFI6 knockout A549']
Abcam A-549 IFIH1 KO 1,['Human IFIH1 (MDA5) knockout A549']
Abcam A-549 IFIH1 KO 2,['Human IFIH1 (MDA5) knockout A549']
Abcam A-549 IFIT2 KO 1,['Human IFIT2 knockout A549']
Abcam A-549 IFIT2 KO 2,['Human IFIT2 knockout A549']
Abcam A-549 IFIT3 KO,['Human IFIT3 (P60) knockout A549']
Abcam A-549 IFIT5 KO 1,['Human IFIT5 knockout A549']
Abcam A-549 IFIT5 KO 2,['Human IFIT5 knockout A549']
Abcam A-549 IFITM1 KO,['Human IFITM1 knockout A549']
Abcam A-549 IFNAR1 KO,['Human IFNAR1 knockout A549']
Abcam A-549 IFNB1 KO,['Human IFNB1 knockout A549']
Abcam A-549 IFNGR1 KO,['Human IFNGR1 knockout A549']
Abcam A-549 IFNGR2 KO,['Human IFNGR2 knockout A549']
Abcam A-549 IFNL3 KO,['Human IFNL3 knockout A549']
Abcam A-549 IGF1 KO,['Human IGF1 knockout A549']
Abcam A-549 IGF2BP1 KO,['Human IGF2BP1 knockout A549']
Abcam A-549 IGF2BP2 KO,['Human IGF2BP2 knockout A549']
Abcam A-549 IGF2BP3 KO,['Human IGF2BP3 knockout A549']
Abcam A-549 IGF2R KO,['Human IGF2R knockout A549']
Abcam A-549 IHH KO,['Human IHH knockout A549']
Abcam A-549 IKBKE KO,['Human IKBKE knockout A549']
Abcam A-549 IL12A KO,['Human IL12A knockout A549']
Abcam A-549 IL15 KO,['Human IL15 knockout A549']
Abcam A-549 IL15RA KO 1,['Human IL15RA knockout A549']
Abcam A-549 IL15RA KO 2,['Human IL15RA knockout A549']
Abcam A-549 IL17A KO,['Human IL17A knockout A549']
Abcam A-549 IL17RA KO,['Human IL17RA knockout A549']
Abcam A-549 IL18 KO,['Human IL18 knockout A549']
Abcam A-549 IL1A KO,['Human IL1A knockout A549']
Abcam A-549 IL1B KO,['Human IL1B knockout A549']
Abcam A-549 IL1RL1 KO,['Human IL1RL1 knockout A549']
Abcam A-549 IL23A KO,['Human IL23A knockout A549']
Abcam A-549 IL23R KO,['Human IL23R knockout A549']
Abcam A-549 IL27 KO,['Human IL27 knockout A549']
Abcam A-549 IL2RB KO,['Human IL2RB knockout A549']
Abcam A-549 IL3RA KO,['Human IL3RA knockout A549']
Abcam A-549 IL6 KO,['Human IL-6 knockout A549']
Abcam A-549 IL6R KO,['Human IL6R knockout A549']
Abcam A-549 IL6ST KO,['Human IL6ST (CD130/gp130) knockout A549']
Abcam A-549 IL7R KO,['Human IL7R knockout A549']
Abcam A-549 IL9 KO,['Human IL9 knockout A549']
Abcam A-549 INHBA KO,['Human INHBA knockout A549']
Abcam A-549 INPP5D KO,['Human INPP5D knockout A549']
Abcam A-549 INPPL1 KO,['Human INPPL1 knockout A549']
Abcam A-549 IQGAP1 KO,['Human IQGAP1 knockout A549']
Abcam A-549 IRAK1 KO,['Human IRAK1 knockout A549']
Abcam A-549 IRAK4 KO,['Human IRAK4 knockout A549']
Abcam A-549 IRF1 KO,['Human IRF1 knockout A549']
Abcam A-549 IRF2 KO 1,['Human IRF2 knockout A549']
Abcam A-549 IRF2 KO 2,['Human IRF2 knockout A549']
Abcam A-549 IRF3 KO 1,['Human IRF3 knockout A549']
Abcam A-549 IRF3 KO 2,['Human IRF3 knockout A549']
Abcam A-549 IRF4 KO,['Human IRF4 knockout A549']
Abcam A-549 IRF5 KO,['Human IRF5 knockout A549']
Abcam A-549 IRF7 KO 1,['Human IRF7 knockout A549']
Abcam A-549 IRF7 KO 2,['Human IRF7 knockout A549']
Abcam A-549 IRF9 KO,['Human IRF9 (Interferon regulatory factor 9) knockout A549']
Abcam A-549 IRS1 KO,['Human IRS1 knockout A549']
Abcam A-549 ISM1 KO 1,['Human ISM1 knockout A549']
Abcam A-549 ISM1 KO 2,['Human ISM1 knockout A549']
Abcam A-549 ITGA2 KO,['Human ITGA2 knockout A549']
Abcam A-549 ITGA3 KO,['Human ITGA3 knockout A549']
Abcam A-549 ITGA5 KO,['Human ITGA5 knockout A549']
Abcam A-549 ITGAE KO,['Human ITGAE knockout A549']
Abcam A-549 ITGAL KO,['Human ITGAL knockout A549']
Abcam A-549 ITGAM KO,['Human ITGAM knockout A549']
Abcam A-549 ITGAV KO,['Human ITGAV knockout A549']
Abcam A-549 ITGAX KO,['Human ITGAX knockout A549']
Abcam A-549 ITGB1 KO,['Human ITGB1 knockout A549']
Abcam A-549 ITGB2 KO,['Human ITGB2 knockout A549']
Abcam A-549 ITGB3 KO,['Human ITGB3 knockout A549']
Abcam A-549 ITGB4 KO,['Human ITGB4 knockout A549']
Abcam A-549 ITK KO,['Human ITK knockout A549']
Abcam A-549 ITPR1 KO,['Human ITPR1 knockout A549']
Abcam A-549 JAK1 KO,['Human JAK1 knockout A549']
Abcam A-549 JAK2 KO,['Human JAK2 knockout A549']
Abcam A-549 JAK3 KO,['Human JAK3 knockout A549']
Abcam A-549 JARID2 KO,['Human JARID2 knockout A549']
Abcam A-549 JUNB KO,['Human JUNB knockout A549']
Abcam A-549 JUND KO,['Human JUND knockout A549']
Abcam A-549 KAT2A KO,['Human KAT2A knockout A549']
Abcam A-549 KAT2B KO,['Human KAT2B knockout A549']
Abcam A-549 KCNQ1 KO,['Human KCNQ1 knockout A549']
Abcam A-549 KDM1A KO,['Human KDM1A knockout A549']
Abcam A-549 KDM3A KO,['Human KDM3A knockout A549']
Abcam A-549 KDM5A KO,['Human KDM5A knockout A549']
Abcam A-549 KDM5B KO,['Human KDM5B knockout A549']
Abcam A-549 KDM6A KO,['Human KDM6A knockout A549']
Abcam A-549 KDM7A KO 1,['Human KDM7A (JHDM1D) knockout A549']
Abcam A-549 KDM7A KO 2,['Human KDM7A (JHDM1D) knockout A549']
Abcam A-549 KEAP1 KO,['Human KEAP1 knockout A549']
Abcam A-549 KIT KO,['Human KIT knockout A549']
Abcam A-549 KITLG KO,['Human KITLG knockout A549']
Abcam A-549 KLF4 KO,['Human KLF4 knockout A549']
Abcam A-549 KLF5 KO,['Human KLF5 knockout A549']
Abcam A-549 KLRB1 KO,['Human KLRB1 knockout A549']
Abcam A-549 KLRC1 KO,['Human KLRC1 knockout A549']
Abcam A-549 KMT2A KO,['Human KMT2A knockout A549']
Abcam A-549 KMT2D KO,['Human KMT2D knockout A549']
Abcam A-549 KRT1 KO,['Human KRT1 knockout A549']
Abcam A-549 KRT19 KO,['Human KRT19 knockout A549']
Abcam A-549 KRT7 KO,['Human KRT7 knockout A549']
Abcam A-549 LAMP1 KO,['Human LAMP1 knockout A549']
Abcam A-549 LAMP3 KO 1,['Human LAMP3 knockout A549']
Abcam A-549 LAMP3 KO 2,['Human LAMP3 knockout A549']
Abcam A-549 LAP3 KO,['Human LAP3 knockout A549']
Abcam A-549 LATS1 KO,['Human LATS1 knockout A549']
Abcam A-549 LATS2 KO,['Human LATS2 knockout A549']
Abcam A-549 LCK KO,['Human LCK knockout A549']
Abcam A-549 LEP KO,['Human LEP knockout A549']
Abcam A-549 LGALS1 KO,['Human LGALS1 knockout A549']
Abcam A-549 LGALS3 KO,['Human LGALS3 knockout A549']
Abcam A-549 LGALS9 KO,['Human Lgals9 (galectin 9/Gal-9) knockout A549']
Abcam A-549 LGALS9C KO,['Human LGALS9C knockout A549']
Abcam A-549 LGR5 KO,['Human LGR5 knockout A549']
Abcam A-549 LILRB1 KO,['Human LILRB1 knockout A549']
Abcam A-549 LILRB4 KO,['Human LILRB4 (ILT-3) knockout A549']
Abcam A-549 LIMK1 KO,['Human LIMK1 knockout A549']
Abcam A-549 LIN28A KO,['Human LIN28A knockout A549']
Abcam A-549 LIN28B KO,['Human LIN28B knockout A549']
Abcam A-549 LMNA KO,['Human LMNA knockout A549']
Abcam A-549 LMO2 KO,['Human LMO2 knockout A549']
Abcam A-549 LOX KO,['Human LOX knockout A549']
Abcam A-549 LPAR1 KO,['Human LPAR1 knockout A549']
Abcam A-549 LPIN1 KO,['Human LPIN1 knockout A549']
Abcam A-549 LRG1 KO,['Human LRG1 knockout A549']
Abcam A-549 LRRK2 KO,['Human LRRK2 knockout A549']
Abcam A-549 LRP5 KO,['Human LRP5 knockout A549']
Abcam A-549 LTBR KO,['Human LTBR knockout A549']
Abcam A-549 LYN KO,['Human LYN knockout A549']
Abcam A-549 MAD1L1 KO,['Human MAD1L1 knockout A549']
Abcam A-549 MAF KO,['Human MAF knockout A549']
Abcam A-549 MALT1 KO,['Human MALT1 knockout A549']
Abcam A-549 MAP2K1 KO,['Human MAP2K1 knockout A549']
Abcam A-549 MAP2K2 KO,['Human MAP2K2 knockout A549']
Abcam A-549 MAP2K4 KO,['Human MAP2K4 knockout A549']
Abcam A-549 MAP2K7 KO 1,['Human MAP2K7 (MKK7) knockout A549']
Abcam A-549 MAP2K7 KO 2,['Human MAP2K7 (MKK7) knockout A549']
Abcam A-549 MAP3K11 KO 1,['Human MAP3K11 (MLK3) knockout A549']
Abcam A-549 MAP3K11 KO 2,['Human MAP3K11 (MLK3) knockout A549']
Abcam A-549 MAP3K11 KO 3,['Human MAP3K11 knockout A549']
Abcam A-549 MAP3K14 KO,['Human MAP3K14 (NFkB Inducing Kinase NIK) knockout A549']
Abcam A-549 MAP3K15 KO 1,['Human MAP3K15 (ASK3) knockout A549']
Abcam A-549 MAP3K15 KO 2,['Human MAP3K15 (ASK3) knockout A549']
Abcam A-549 MAP3K2 KO 1,['Human MAP3K2 (MEKK2) knockout A549']
Abcam A-549 MAP3K2 KO 2,['Human MAP3K2 (MEKK2) knockout A549']
Abcam A-549 MAP3K5 KO,['Human MAP3K5 knockout A549']
Abcam A-549 MAP3K7 KO,['Human MAP3K7 knockout A549']
Abcam A-549 MAPK1 KO,['Human MAPK1 knockout A549']
Abcam A-549 MAPK14 KO,['Human MAPK14 knockout A549']
Abcam A-549 MAPK3 KO,['Human MAPK3 knockout A549']
Abcam A-549 MAPKAPK2 KO,['Human MAPKAPK2 knockout A549']
Abcam A-549 MARK2 KO,['Human MARK2 knockout A549']
Abcam A-549 MAVS KO,['Human MAVS knockout A549']
Abcam A-549 MBNL1 KO,['Human MBNL1 knockout A549']
Abcam A-549 MDC1 KO,['Human MDC1 knockout A549']
Abcam A-549 ME1 KO,['Human ME1 knockout A549']
Abcam A-549 MECOM KO,['Human MECOM knockout A549']
Abcam A-549 MECP2 KO,['Human MECP2 knockout A549']
Abcam A-549 MED12 KO,['Human MED12 knockout A549']
Abcam A-549 MEF2A KO,['Human MEF2A knockout A549']
Abcam A-549 MEF2C KO,['Human MEF2C knockout A549']
Abcam A-549 MEN1 KO,['Human MEN1 knockout A549']
Abcam A-549 MERTK KO,['Human MERTK knockout A549']
Abcam A-549 MET KO,['Human MET knockout A549']
Abcam A-549 MGMT KO,['Human MGMT knockout A549']
Abcam A-549 MIB1 KO,['Human MIB1 knockout A549']
Abcam A-549 MICA KO,['Human MICA knockout A549']
Abcam A-549 MICB KO,['Human MICB knockout A549']
Abcam A-549 MITF KO,['Human MITF knockout A549']
Abcam A-549 MKI67 KO,['Human MKI67 knockout A549']
Abcam A-549 MLH1 KO,['Human MLH1 knockout A549']
Abcam A-549 MMP1 KO,['Human MMP1 knockout A549']
Abcam A-549 MMP12 KO,['Human MMP12 knockout A549']
Abcam A-549 MMP2 KO,['Human MMP2 knockout A549']
Abcam A-549 MMP3 KO,['Human MMP3 knockout A549']
Abcam A-549 MMP9 KO,['Human MMP9 knockout A549']
Abcam A-549 MPO KO,['Human MPO knockout A549']
Abcam A-549 MRC1 KO,['Human MRC1 knockout A549']
Abcam A-549 MSH2 KO,['Human MSH2 knockout A549']
Abcam A-549 MSH3 KO,['Human MSH3 knockout A549']
Abcam A-549 MSH6 KO,['Human MSH6 knockout A549']
Abcam A-549 MSI1 KO,['Human MSI1 knockout A549']
Abcam A-549 MSLN KO,['Human MSLN knockout A549']
Abcam A-549 MSR1 KO,['Human MSR1 knockout A549']
Abcam A-549 MST1R KO,['Human MST1R knockout A549']
Abcam A-549 MSX1 KO 1,['Human MSX1 knockout A549']
Abcam A-549 MSX1 KO 2,['Human MSX1 knockout A549']
Abcam A-549 MTA2 KO,['Human MTA2 knockout A549']
Abcam A-549 MUC1 KO,['Human MUC1 knockout A549']
Abcam A-549 MUC16 KO,['Human MUC16 knockout A549']
Abcam A-549 MX1 KO,['Human MX1 knockout A549']
Abcam A-549 MX2 KO 1,['Human MX2 knockout A549']
Abcam A-549 MX2 KO 2,['Human MX2 knockout A549']
Abcam A-549 MYB KO,['Human MYB knockout A549']
Abcam A-549 MYD88 KO,['Human MYD88 knockout A549']
Abcam A-549 MYH2 KO 1,['Human MYH2 knockout A549']
Abcam A-549 MYH2 KO 2,['Human MYH2 knockout A549']
Abcam A-549 MYOD1 KO,['Human MYOD1 knockout A549']
Abcam A-549 NAMPT KO,['Human NAMPT knockout A549']
Abcam A-549 NANOG KO,['Human NANOG knockout A549']
Abcam A-549 NBN KO,['Human NBN (p95/NBS1) knockout A549']
Abcam A-549 NCAM1 KO,['Human NCAM1 knockout A549']
Abcam A-549 NCAM2 KO,['Human NCAM2 knockout A549']
Abcam A-549 NCF4 KO,['Human NCF4 knockout A549']
Abcam A-549 NCOA1 KO,['Human NCOA1 knockout A549']
Abcam A-549 NCOA7 KO 1,['Human NCOA7 knockout A549']
Abcam A-549 NCOA7 KO 2,['Human NCOA7 knockout A549']
Abcam A-549 NCR1 KO,['Human NCR1 knockout A549']
Abcam A-549 NECTIN2 KO,['Human NECTIN2 knockout A549']
Abcam A-549 NECTIN3 KO,['Human NECTIN3 knockout A549']
Abcam A-549 NEDD4L KO,['Human NEDD4L knockout A549']
Abcam A-549 NEU1 KO,['Human NEU1 knockout A549']
Abcam A-549 NF1 KO,['Human NF1 knockout A549']
Abcam A-549 NF2 KO,['Human NF2 knockout A549']
Abcam A-549 NFATC1 KO,['Human NFATC1 knockout A549']
Abcam A-549 NFATC2 KO,['Human NFATC2 knockout A549']
Abcam A-549 NFIB KO,['Human NFIB knockout A549']
Abcam A-549 NLRC5 KO,['Human NLRC5 knockout A549']
Abcam A-549 NMI KO,['Human NMI (N myc interactor/NMI) knockout A549']
Abcam A-549 NOD1 KO,['Human NOD1 knockout A549']
Abcam A-549 NOS1 KO,['Human NOS1 knockout A549']
Abcam A-549 NOS2 KO,['Human NOS2 knockout A549']
Abcam A-549 NOTCH1 KO,['Human NOTCH1 knockout A549']
Abcam A-549 NOTCH2 KO,['Human NOTCH2 knockout A549']
Abcam A-549 NPC1 KO,['Human NPC1 knockout A549']
Abcam A-549 NR1D1 KO,['Human NR1D1 knockout A549']
Abcam A-549 NR1H2 KO,['Human NR1H2 knockout A549']
Abcam A-549 NR1H3 KO,['Human NR1H3 knockout A549']
Abcam A-549 NR3C1 KO,['Human NR3C1 (Glucocorticoid Receptor) knockout A549']
Abcam A-549 NR4A1 KO,['Human NR4A1 knockout A549']
Abcam A-549 NR4A3 KO,['Human NR4A3 knockout A549']
Abcam A-549 NR5A2 KO,['Human NR5A2 knockout A549']
Abcam A-549 NRAS KO,['Human NRAS knockout A549']
Abcam A-549 NRP1 KO,['Human NRP1 knockout A549']
Abcam A-549 NRP2 KO,['Human NRP2 knockout A549']
Abcam A-549 NSD2 KO,['Human NSD2 knockout A549']
Abcam A-549 NT5C3A KO 1,['Human NT5C3A (PN-I) knockout A549']
Abcam A-549 NT5C3A KO 2,['Human NT5C3A (PN-I) knockout A549']
Abcam A-549 NTRK2 KO,['Human NTRK2 knockout A549']
Abcam A-549 NTRK3 KO,['Human NTRK3 knockout A549']
Abcam A-549 OAS1 KO 1,['Human OAS1 knockout A549']
Abcam A-549 OAS1 KO 2,['Human OAS1 knockout A549']
Abcam A-549 OAS2 KO 1,['Human OAS2 knockout A549']
Abcam A-549 OAS2 KO 2,['Human OAS2 knockout A549']
Abcam A-549 OAS2 KO 3,['Human OAS2 knockout A549']
Abcam A-549 OAS3 KO,['Human OAS3 knockout A549']
Abcam A-549 OASL KO 1,['Human OASL knockout A549']
Abcam A-549 OASL KO 2,['Human OASL knockout A549']
Abcam A-549 ODC1 KO,['Human ODC1 knockout A549']
Abcam A-549 OGG1 KO,['Human OGG1 knockout A549']
Abcam A-549 OGT KO,['Human OGT knockout A549']
Abcam A-549 OLIG2 KO,['Human OLIG2 knockout A549']
Abcam A-549 OPRM1 KO,['Human OPRM1 knockout A549']
Abcam A-549 ORAI1 KO,['Human ORAI1 knockout A549']
Abcam A-549 OTOP3 KO 1,['Human OTOP3 knockout A549']
Abcam A-549 OTOP3 KO 2,['Human OTOP3 knockout A549']
Abcam A-549 P2RX7 KO,['Human P2RX7 knockout A549']
Abcam A-549 P2RY12 KO,['Human P2RY12 knockout A549']
Abcam A-549 PABPC1 KO,['Human PABPC1 knockout A549']
Abcam A-549 PADI4 KO,['Human PADI4 knockout A549']
Abcam A-549 PAK1 KO,['Human PAK1 knockout A549']
Abcam A-549 PAK2 KO,['Human PAK2 knockout A549']
Abcam A-549 PAK4 KO,['Human PAK4 knockout A549']
Abcam A-549 PALB2 KO,['Human PALB2 knockout A549']
Abcam A-549 PANX1 KO,['Human PANX1 knockout A549']
Abcam A-549 PARG KO,['Human PARG knockout A549']
Abcam A-549 PARP1 KO,['Human PARP1 knockout A549']
Abcam A-549 PARP10 KO 1,['Human PARP10 (ARTD10) knockout A549']
Abcam A-549 PARP10 KO 2,['Human PARP10 (ARTD10) knockout A549']
Abcam A-549 PARP12 KO,['Human PARP12 knockout A549']
Abcam A-549 PARP14 KO 1,['Human PARP14 knockout A549']
Abcam A-549 PARP14 KO 2,['Human PARP14 knockout A549']
Abcam A-549 PARP3 KO,['Human PARP3 knockout A549']
Abcam A-549 PARP9 KO 1,['Human PARP9 knockout A549']
Abcam A-549 PARP9 KO 2,['Human PARP9 knockout A549']
Abcam A-549 PAX5 KO,['Human PAX5 knockout A549']
Abcam A-549 PAX6 KO,['Human PAX6 knockout A549']
Abcam A-549 PAX7 KO,['Human PAX7 knockout A549']
Abcam A-549 PAX8 KO,['Human PAX8 knockout A549']
Abcam A-549 PBK KO,['Human PBK knockout A549']
Abcam A-549 PBRM1 KO,['Human PBRM1 knockout A549']
Abcam A-549 PCK1 KO,['Human PCK1 knockout A549']
Abcam A-549 PCSK9 KO,['Human PCSK9 knockout A549']
Abcam A-549 PDCD1 KO,['Human PDCD1 knockout A549']
Abcam A-549 PDCD1LG2 KO,['Human PDCD1LG2 (PD-L2) knockout A549']
Abcam A-549 PDE5A KO,['Human PDE5A knockout A549']
Abcam A-549 PDGFB KO,['Human PDGFB knockout A549']
Abcam A-549 PDGFRA KO,['Human PDGFRA knockout A549']
Abcam A-549 PDGFRB KO,['Human PDGFRB knockout A549']
Abcam A-549 PDIA3 KO,['Human PDIA3 knockout A549']
Abcam A-549 PDPN KO,['Human PDPN knockout A549']
Abcam A-549 PDX1 KO,['Human PDX1 knockout A549']
Abcam A-549 PEBP1 KO,['Human PEBP1 knockout A549']
Abcam A-549 PECAM1 KO,['Human PECAM1 knockout A549']
Abcam A-549 PER1 KO,['Human PER1 knockout A549']
Abcam A-549 PER2 KO,['Human PER2 knockout A549']
Abcam A-549 PFKFB3 KO,['Human PFKFB3 knockout A549']
Abcam A-549 PGF KO,['Human PGF knockout A549']
Abcam A-549 PGR KO,['Human PGR knockout A549']
Abcam A-549 PGK1 KO,['Human PGK1 knockout A549']
Abcam A-549 PHF1 KO,['Human PHF1 knockout A549']
Abcam A-549 PHGDH KO,['Human PHGDH knockout A549']
Abcam A-549 PHLPP1 KO,['Human PHLPP1 knockout A549']
Abcam A-549 PIK3C3 KO,['Human PIK3C3 knockout A549']
Abcam A-549 PIK3CA KO,['Human PIK3CA knockout A549']
Abcam A-549 PIK3R1 KO,['Human PIK3R1 knockout A549']
Abcam A-549 PIK3R2 KO,['Human PIK3R2 knockout A549']
Abcam A-549 PINK1 KO,['Human PINK1 knockout A549']
Abcam A-549 PIWIL4 KO,['Human PIWIL4 knockout A549']
Abcam A-549 PKD2 KO,['Human PKD2 knockout A549']
Abcam A-549 PLAAT4 KO 1,['Human RARRES3 (TIG3) knockout A549']
Abcam A-549 PLAAT4 KO 2,['Human RARRES3 (TIG3) knockout A549']
Abcam A-549 PLAUR KO,['Human PLAUR knockout A549']
Abcam A-549 PLCG2 KO,['Human PLCG2 knockout A549']
Abcam A-549 PLD1 KO,['Human PLD1 knockout A549']
Abcam A-549 PLEKHA4 KO 1,['Human PLEKHA4 knockout A549']
Abcam A-549 PLEKHA4 KO 2,['Human PLEKHA4 knockout A549']
Abcam A-549 PLSCR1 KO 1,['Human PLSCR1 (Scramblase 1) knockout A549']
Abcam A-549 PLSCR1 KO 2,['Human PLSCR1 (Scramblase 1) knockout A549']
Abcam A-549 PMAIP1 KO 1,['Human PMAIP1 (Noxa) knockout A549']
Abcam A-549 PMAIP1 KO 2,['Human PMAIP1 (Noxa) knockout A549']
Abcam A-549 PMEL KO,['Human PMEL knockout A549']
Abcam A-549 PML KO 1,['Human PML (PML Protein) knockout A549']
Abcam A-549 PML KO 2,['Human PML (PML Protein) knockout A549']
Abcam A-549 PMS2 KO,['Human PMS2 knockout A549']
Abcam A-549 POLQ KO,['Human POLQ knockout A549']
Abcam A-549 POLR2A KO,['Human POLR2A knockout A549']
Abcam A-549 POU2F1 KO,['Human POU2F1 knockout A549']
Abcam A-549 POU2F2 KO,['Human POU2F2 knockout A549']
Abcam A-549 POU5F1 KO,['Human POU5F1 knockout A549']
Abcam A-549 PPARA KO,['Human PPARA knockout A549']
Abcam A-549 PPARD KO,['Human PPARD knockout A549']
Abcam A-549 PPARG KO,['Human PPARG knockout A549']
Abcam A-549 PPM1D KO,['Human PPM1D knockout A549']
Abcam A-549 PRDM1 KO,['Human PRDM1 knockout A549']
Abcam A-549 PRDM16 KO,['Human PRDM16 knockout A549']
Abcam A-549 PRDX6 KO,['Human PRDX6 knockout A549']
Abcam A-549 PRF1 KO,['Human PRF1 knockout A549']
Abcam A-549 PRKAA1 KO,['Human PRKAA1 knockout A549']
Abcam A-549 PRKAA2 KO,['Human PRKAA2 knockout A549']
Abcam A-549 PRKAR1A KO,['Human PRKAR1A knockout A549']
Abcam A-549 PRKCA KO,['Human PRKCA knockout A549']
Abcam A-549 PRKCB KO,['Human PRKCB knockout A549']
Abcam A-549 PRKD2 KO,['Human PRKD2 knockout A549']
Abcam A-549 PRKDC KO,['Human PRKDC knockout A549']
Abcam A-549 PROCR KO,['Human PROCR knockout A549']
Abcam A-549 PROM1 KO,['Human PROM1 knockout A549']
Abcam A-549 PROX1 KO,['Human PROX1 knockout A549']
Abcam A-549 PSMB8 KO 1,['Human PSMB8 (Proteasome 20S LMP7) knockout A549']
Abcam A-549 PSMB8 KO 2,['Human PSMB8 (Proteasome 20S LMP7) knockout A549']
